Sample	Latent_1	Latent_2	Latent_3	Latent_4	Latent_5	Latent_6	Latent_7	Latent_8	Latent_9	Latent_10	Latent_11	Latent_12	Latent_13	Latent_14	Latent_15	Latent_16	Latent_17	Latent_18	Latent_19	Latent_20	Latent_21	Latent_22	Latent_23	Latent_24	Latent_25	Latent_26	Latent_27	Latent_28	Latent_29	Latent_30	Latent_31	Latent_32
GSM1370701	17.705547	-27.476723	7.8095903	18.034111	7.2440257	-56.751865	24.557705	9.6150055	-26.311472	-27.724726	-80.53784	18.454992	-15.689376	53.541603	46.052097	61.744263	-45.597374	-25.652958	-29.62522	-37.45667	-57.40575	22.595865	-91.780754	-34.866074	34.905483	-34.022877	-36.940044	46.642162	-8.6112	-48.954056	-0.47383922	41.803
GSM1370702	19.141224	-27.308468	5.9591684	19.657581	3.6756196	-57.076405	25.405195	9.753525	-26.540634	-26.556032	-79.59464	18.71506	-15.116179	51.672634	45.273357	61.021057	-48.745964	-26.843033	-26.412502	-40.511726	-59.542854	26.673597	-88.21133	-38.27938	37.53281	-34.09149	-37.320385	50.211456	-8.550575	-48.866936	-0.69698375	41.93038
GSM1370703	18.418118	-27.809963	7.20327	17.99349	6.487085	-56.787586	24.715765	10.913313	-27.45613	-27.898914	-80.44875	18.289959	-15.985621	53.313965	47.121914	62.216698	-45.798557	-26.526447	-29.340631	-37.57243	-58.597054	22.004425	-91.823906	-34.779156	35.688507	-34.55206	-36.66653	46.899242	-9.529123	-48.003788	-0.55134815	41.15686
GSM1370704	18.46294	-27.910625	7.142579	18.963968	4.705238	-57.007786	25.802898	9.103794	-25.951485	-26.896477	-80.51431	18.67618	-15.554147	52.36396	45.618656	61.49292	-47.48802	-26.426685	-27.660032	-38.801777	-58.675	25.816559	-89.26335	-37.776573	36.11096	-33.629486	-36.461037	48.752857	-8.444513	-49.717342	-0.19684453	41.879196
GSM1370910	-22.074696	-66.47217	-10.694792	75.9963	28.045715	-82.62138	57.38212	-49.142197	-14.418068	-6.5865226	-92.55389	11.974817	1.5377718	34.66154	-12.9400835	45.59507	-66.88065	-5.7933235	25.86862	-63.24307	-39.98	65.709785	-61.763077	-85.49465	3.381737	-20.207973	-65.73928	52.289494	28.587185	-79.52345	48.45955	82.193695
GSM1370911	-20.889383	-69.470665	-11.020536	76.96529	26.49484	-83.24607	61.717056	-48.902	-14.175049	-6.3564515	-91.99888	14.215494	1.915011	32.67036	-12.368728	49.363922	-66.433914	-8.896107	29.146975	-63.86847	-41.157658	69.76679	-60.501236	-86.57253	5.208599	-20.07941	-64.87184	53.630497	29.057531	-81.866356	50.094353	82.86357
GSM1371395	-3.5443459	-23.977692	4.46959	1.3696864	47.083553	-46.0731	-8.2921915	-25.803972	-11.660143	-7.5933833	-83.15269	2.1663783	-2.817926	22.237251	25.804287	52.283653	-47.40018	6.150632	-37.294315	-22.507206	-28.639282	-36.74231	-116.78731	-2.7418394	-23.031513	-48.277657	-38.131676	-13.923343	-3.900871	-28.469486	37.675957	44.075928
GSM1371396	-3.3704147	-25.130045	2.6874607	2.8095763	47.926018	-47.333374	-8.042781	-25.027628	-12.758005	-7.5270715	-83.60985	1.8207916	-3.0230699	22.149109	25.632439	52.11528	-47.82399	4.9234934	-35.88239	-24.777628	-28.956608	-35.185196	-116.14824	-3.7054148	-22.151594	-48.96726	-38.406773	-13.121202	-3.6358373	-27.461351	37.406425	43.972153
GSM1371397	-3.6845741	-25.927423	2.5973737	3.7346365	47.202362	-47.311974	-6.417313	-25.651606	-12.255823	-8.192335	-82.77525	1.6839699	-3.3609977	21.943645	25.244732	51.868347	-47.769512	5.488206	-35.249496	-23.340616	-29.412502	-34.75959	-114.63984	-4.93015	-22.937212	-47.789303	-37.81021	-12.380492	-2.909376	-28.27305	38.55574	43.67256
GSM1371398	-4.452631	-25.059256	4.75169	2.3497164	48.637432	-45.789944	-8.018296	-26.778002	-11.066803	-7.5763974	-81.766884	2.216347	-3.1387506	22.42851	24.108776	50.491074	-45.49358	8.050418	-36.37028	-22.326937	-25.593588	-36.96738	-114.42129	-3.0014467	-24.611034	-46.549316	-39.170155	-14.207705	-1.5772284	-28.805904	37.573425	45.07312
GSM1371399	-4.9429436	-24.145784	5.4495306	1.7554724	47.841526	-44.298985	-6.922025	-27.63603	-10.634188	-7.1842475	-81.01416	1.875708	-2.5179734	21.431736	23.508968	50.690926	-45.872402	8.859023	-37.24289	-20.24314	-25.590826	-38.695827	-114.82903	-2.0270185	-25.743967	-46.015102	-38.45425	-14.562521	-2.2526224	-28.70275	38.523407	44.732487
GSM1371400	-5.134739	-24.300581	4.9767284	2.4037707	48.090843	-44.950764	-6.6498723	-27.677553	-9.863358	-7.336944	-80.63394	2.095919	-2.3587165	21.790274	23.268356	50.48884	-46.1424	9.082544	-36.724693	-20.91523	-25.736849	-37.385567	-114.25967	-3.0904913	-26.108011	-45.958763	-38.866463	-13.763237	-1.2343158	-29.476406	38.6436	44.937138
GSM1371401	-5.5728455	-23.467764	6.409774	0.8524153	47.99737	-43.19379	-6.3850684	-28.19727	-9.871712	-6.2081685	-80.62911	1.5520462	-1.8624729	20.756655	23.167294	50.36236	-45.9484	9.498443	-38.277607	-18.734251	-24.485136	-40.199993	-115.06882	-1.5012501	-27.348272	-45.554996	-38.049484	-15.496222	-1.9995612	-28.7878	39.152073	44.642784
GSM1371402	-6.786255	-24.68489	3.0394838	3.5499384	49.30019	-44.834526	-6.3512206	-28.944143	-10.481367	-7.084007	-79.01851	1.6860431	-1.9698633	20.407236	20.868778	48.485023	-45.319447	8.749639	-34.15026	-21.780926	-24.591255	-36.917133	-111.50036	-3.4164762	-26.849503	-45.12724	-38.604225	-14.741597	-0.7530364	-27.865242	39.480404	44.65887
